AGE [scale: age in months]	GENDER [nominal]	ATTSC1 [ordinal: school is boring]	ATTSC2 [ordinal: school is fun]	ATTSC3 [ordinal: school is the same day after day]	ATTSC4 [ordinal: teachers don't try hard enough]	ATTSC5 [ordinal: sorry when school's out]	ATTSC6 [ordinal: teachers always try to help us]	ATTSC7 [ordinal: like going to school]	ATTSC8 [ordinal: teachers are boring]	ATTSC9 [ordinal: would rather not be at school]	ATTSC10 [ordinal: teachers aren't interested in us kids]	SCMARK [scale: marks for your school]	SELF1 [ordinal: glad to be me]	APPSC1 [ordinal: like my body]	PHYSSC1 [ordinal: am good at sports]	ENGSC1 [ordinal: I get good marks in English]	PARSC1 [ordinal: don't like to be with parents]	PEERSC1 [ordinal: make friends easily]	MATHSC1 [ordinal: among the best in my class for maths]	SCHSC1 [ordinal: good marks in all subjects]	SELF2 [ordinal: would like to be someone else]	APPSC2 [ordinal: I'm good looking]	SCHSC2 [ordinal: often don't understand things at school]	PARSC2 [ordinal: find it easy to talk to my parents]	SELF3 [ordinal: happy with the way I live]	MATHSC2 [ordinal: teachers think I'm good at maths]	SELF4 [ordinal: I often feel worthless]	PHYSSC2 [ordinal: like to do sports]	SCHSC3 [ordinal: among th best in my class at all subjects]	PEERSC2 [ordinal: don't have many friends]	SELF5 [ordinal: have lot to be proud off]	ENGSC2 [ordinal: often don't understand things in English classes]	PARSC3 [ordinal: my parents don't like me]	APPSC3 [ordinal: don't like the way I look]	MATHSC3 [ordinal: good marks in maths]	SELF6 [ordinal: sometimes I think I can't do anything right]	PEERSC3 [ordinal: other kids like me]	APPSC4 [ordinal: have an attractive face]	SELF7 [ordinal: do most things right]	SCHSC4 [ordinal: teachers think I'm clever]	ENGSC3 [ordinal: among the best in my class at English]	PHYSSC3 [ordinal: not good t learning new games]	SELF8 [ordinal: I'm not as good as other kids]	PARSC4 [ordinal: have fun with my parents]	MATHSC4 [ordinal: often don't understand maths]	PHYSSC4 [ordinal: bad at sports]	ENGSC4 [ordinal: teachers think I'm good at English]	SELF9 [ordinal: I'd change a lot about myself if I could]	PEERSC4 [ordinal: other kids want me to be their friend]	ENGGRADE [scale: school grades English]	MATHGRAD [scale: school grades maths]	GPA [scale: grade point average]	DUMETH [scale: ethnicity]	FAMISC_1 [scale: SMEAN(FAMISCO)]	PAREDU_1 [scale: SMEAN(PAREDU)]	FILTER_$ [nominal: gender = 2 (FILTER)]	SCHTYPE [nominal: type of school]	CATHOLIC [nominal]	COE [nominal]	SCHOOLEN [ordinal: quality of school environment]
128	girl	disagree	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	agree	disagree	agree	disagree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree strongly	agree	agree	agree	agree	disagree	agree strongly	disagree	disagree	disagree	agree	agree			70.5	1	8	2	Selected	State	0	1	medium
128	girl	disagree strongly	disagree	agree	agree strongly	agree strongly	agree strongly	agree	disagree	disagree	disagree strongly	7	agree	niet echt waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree	agree	disagree	agree	disagree	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree	disagree strongly	disagree	agree	disagree strongly	agree	agree	agree	agree	agree strongly	disagree strongly	disagree	agree strongly	disagree	disagree strongly	agree	disagree	agree			87.5	1	8	3	Selected	State	0	1	medium
129	girl	agree	agree strongly	disagree	disagree strongly	disagree	agree strongly	agree strongly	disagree	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	disagree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	agree	disagree	agree strongly	disagree	agree	disagree	disagree	disagree strongly	disagree	agree	agree	disagree	agree	disagree	agree	agree	disagree strongly	disagree	agree strongly	disagree	disagree	agree	disagree strongly	disagree			88	0	0	4	Selected	State	0	1	medium
124	girl	disagree	agree	agree	agree	disagree strongly	disagree	disagree strongly	agree	disagree strongly	disagree strongly	6	agree strongly	niet echt waar	disagree	agree strongly	disagree strongly	agree strongly	disagree	disagree	disagree strongly	disagree	disagree	agree	agree strongly	agree	agree	agree strongly	disagree strongly	disagree strongly	agree	disagree	disagree strongly	disagree strongly	disagree	disagree	agree strongly	agree	disagree	disagree	disagree	disagree strongly	disagree	agree strongly	disagree	disagree strongly	disagree	disagree	disagree			89.4	1	4	4	Selected	State	0	1	medium
130	girl	agree	disagree	agree	agree strongly	disagree strongly	agree	disagree	agree	agree strongly	disagree	7	disagree strongly	helemaal niet waar	disagree	disagree	disagree strongly	disagree	disagree	disagree	agree	disagree	disagree	agree strongly	disagree	disagree	agree	disagree	disagree	agree	disagree	agree	disagree strongly	disagree	disagree	agree	disagree	disagree	disagree	disagree	disagree strongly	disagree	agree	agree	disagree	disagree	disagree	agree strongly	disagree			85	1	4	5	Selected	Catholic	1	0	medium
124	girl	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree	disagree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	agree	disagree	agree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	disagree	agree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree			73.5	1	6	5	Selected	Catholic	1	0	medium
128	girl	agree	agree	agree	agree	disagree strongly	disagree	agree	agree	agree strongly	agree	6	disagree	een beetje waar	agree	disagree	agree	disagree	disagree	disagree	disagree	agree	disagree	agree	agree	disagree	agree	agree strongly	disagree	disagree	agree	disagree	disagree strongly	disagree	disagree	agree	agree	agree	disagree	agree	disagree	disagree strongly	agree	agree strongly	agree	disagree	disagree	agree	disagree			71	1	7	5	Selected	Catholic	1	0	medium
128	girl	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree	helemaal waar	agree	disagree	agree strongly	disagree	agree	agree	disagree strongly	agree	disagree	agree	agree	agree	disagree	agree	disagree	agree	disagree	agree	disagree strongly	disagree	agree	disagree	agree	disagree	agree	agree	disagree	disagree	agree	agree	disagree	disagree	disagree	agree	disagree			80	1	8	5	Selected	Catholic	1	0	medium
120	girl	agree	disagree	agree	disagree	agree	agree	agree	agree	agree	disagree	4	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	disagree	agree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree	disagree	agree	agree strongly	agree	disagree	agree	agree	disagree strongly	agree strongly	agree	agree	disagree	disagree	agree			85	1	8	5	Selected	Catholic	1	0	medium
135	girl	agree	agree strongly	agree	disagree strongly	disagree strongly	agree	agree strongly	disagree	disagree strongly	agree	7	agree	een beetje waar	agree	agree	agree	agree strongly	agree	agree strongly	disagree	agree strongly	disagree	agree	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	disagree strongly	agree	agree strongly	disagree	agree strongly	agree strongly	agree strongly	agree	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	agree strongly			66	1	18	5	Selected	Catholic	1	0	medium
128	girl	disagree strongly	agree strongly	agree	disagree strongly	agree		agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree	niet echt waar	disagree	disagree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	disagree	disagree	disagree	agree strongly	disagree	agree	agree	disagree	agree	disagree	agree	disagree	disagree strongly	disagree	disagree	agree	disagree	agree	disagree	disagree	disagree	agree	agree strongly	disagree	disagree	disagree	disagree	agree strongly			67	1	2	6	Selected	Catholic	1	0	medium
126	girl	agree	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree	agree	disagree strongly	3	agree strongly	helemaal waar	agree	agree	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree	disagree	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree	agree	agree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree	disagree	agree	disagree strongly	agree			87.5	1	6	6	Selected	Catholic	1	0	medium
127	girl	agree	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	agree	agree	disagree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	agree	disagree strongly	disagree	agree	disagree	agree	disagree	disagree strongly	disagree strongly	agree	disagree strongly	disagree	agree	agree	agree	disagree	disagree	disagree strongly	agree strongly	agree	disagree	agree	disagree	disagree			79	1	8	6	Selected	State	0	1	medium
134	girl	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree	agree strongly	disagree	agree strongly	agree strongly	disagree	9	agree	een beetje waar	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree	disagree	disagree	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	disagree strongly	disagree	agree strongly			71	1	9	6	Selected	State	0	1	medium
128	girl	disagree	disagree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree	agree	disagree strongly	6	agree strongly	helemaal waar	agree strongly	agree	agree strongly	disagree strongly	agree	agree	disagree strongly	agree	disagree	agree strongly	agree strongly	agree strongly	disagree	agree strongly	agree strongly	agree strongly	agree	disagree	disagree strongly	disagree	agree strongly	disagree	agree strongly	disagree	agree	agree	agree strongly	disagree strongly	disagree	agree strongly	disagree	disagree strongly	agree	disagree	disagree strongly			91	0	12	6	Selected	State	0	1	high
123	girl	disagree	agree strongly	agree	disagree strongly	agree strongly	agree	agree strongly	disagree	disagree strongly	disagree strongly	8	agree strongly	niet echt waar	agree strongly	disagree	disagree strongly	agree	agree	agree strongly	disagree	agree strongly	disagree	agree strongly	agree strongly	agree strongly	disagree	agree strongly	agree	disagree	disagree	agree	disagree	agree	agree strongly	disagree	agree	agree	agree strongly	agree	disagree	agree	disagree	agree strongly	disagree	disagree strongly	agree	agree	agree			82.5	0	16	6	Selected	COE	0	0	high
124	girl	agree	disagree	agree strongly	agree strongly	disagree strongly	disagree	agree	agree strongly	agree strongly	disagree	7	agree strongly	helemaal niet waar	agree strongly	disagree	agree strongly	disagree	agree	agree	disagree	agree	disagree	agree strongly	agree strongly	agree	agree strongly	agree strongly	agree	agree strongly	agree	agree	disagree strongly	disagree	agree	agree	disagree	agree strongly	agree	agree	agree	disagree strongly	disagree	agree strongly	disagree	disagree strongly	disagree	agree	disagree			67.2	1	16	6	Selected	COE	0	0	high
128	girl	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree	agree	agree	disagree	agree strongly	disagree	agree strongly	agree strongly	agree	disagree	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree	agree	disagree	agree	disagree	agree	agree	disagree strongly	disagree strongly	agree strongly	disagree	disagree	agree	disagree	disagree			89	1	16	6	Selected	COE	0	0	high
125	girl	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	6	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree	disagree	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree	disagree strongly	disagree	disagree	agree	agree	agree	disagree	disagree	agree strongly	disagree	disagree strongly	agree	disagree	disagree			86	0	18	6	Selected	COE	0	0	high
126	girl	agree	agree	agree	disagree	disagree	agree strongly	agree	disagree	disagree	disagree strongly	7	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree	agree	agree	disagree strongly	disagree	disagree	agree strongly	agree strongly	agree	disagree	agree	agree	disagree strongly	agree	disagree	disagree strongly	disagree	agree	disagree	agree strongly	agree	agree	agree	agree	disagree	disagree strongly	agree strongly	disagree	disagree	agree	disagree	agree			88.5	1	10	6	Selected	State	0	1	high
121	girl	disagree strongly	agree strongly	disagree	agree strongly	agree	agree strongly	agree	disagree strongly	disagree	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree	disagree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	agree	agree	agree	agree	disagree	disagree	agree	disagree strongly	disagree	agree	agree	agree			88	1	10	6	Selected	State	0	1	high
127	girl	agree strongly	disagree	agree strongly	disagree strongly	disagree	disagree	disagree strongly	agree	agree	disagree strongly	7	agree strongly	helemaal niet waar	disagree	agree strongly	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	agree	disagree	disagree	agree	disagree strongly	agree	disagree strongly	disagree strongly	agree	agree	agree	agree	agree strongly	disagree	agree	agree	disagree	disagree	agree strongly	disagree	disagree	agree	disagree	agree			78.5	1	10	6	Selected	State	0	1	high
121	girl	agree	agree	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree	agree	disagree strongly	6	agree strongly	helemaal niet waar	agree strongly	agree	disagree	agree strongly	disagree strongly	disagree	disagree strongly	agree strongly	disagree	agree	disagree	disagree	agree	agree strongly	disagree	agree	agree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree	agree	agree	disagree	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	disagree strongly	agree	agree strongly	disagree			79	1	10	6	Selected	State	0	1	high
119	girl	agree	disagree strongly	agree	agree strongly	disagree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree	0	agree	een beetje waar	disagree	agree	disagree strongly	disagree	disagree	disagree	agree	agree	disagree	agree	agree	disagree	agree strongly	agree	disagree	agree	agree strongly	agree	disagree	disagree	disagree	agree	disagree	disagree	disagree	disagree	disagree	agree	disagree	agree	disagree	disagree	disagree	agree	disagree			90	1	10	6	Selected	State	0	1	high
130	girl	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	0	disagree	een beetje waar	agree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree	agree strongly	agree	disagree	disagree	agree strongly	disagree	agree	agree	disagree	disagree strongly	disagree	agree	disagree strongly	disagree	disagree strongly	agree strongly	agree	disagree	disagree	disagree	disagree	disagree	agree	agree strongly	agree	agree	disagree	agree strongly	agree			80	1	10	6	Selected	State	0	1	high
122	girl	disagree	agree strongly	agree	disagree strongly	disagree	agree	agree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	disagree	agree	disagree strongly	agree	disagree	agree	agree strongly	agree	agree	agree	disagree	disagree	agree	disagree strongly	disagree strongly	disagree strongly	disagree	agree	disagree	disagree	agree	disagree	disagree	disagree strongly	disagree	agree strongly	disagree	disagree strongly	agree	disagree strongly	agree			89.5	1	9	7	Selected	State	0	1	high
128	girl	disagree	agree strongly	disagree	disagree strongly	agree	agree strongly	agree strongly	disagree	disagree strongly	disagree	8	disagree	helemaal waar	disagree	disagree	disagree	disagree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree	agree	agree	agree	agree	agree strongly	disagree strongly	disagree	disagree	agree	disagree strongly	agree strongly	disagree	agree	disagree	disagree strongly	disagree	disagree strongly	disagree strongly	disagree	agree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree			77	1	14	7	Selected	State	0	1	high
125	girl	agree	agree strongly	agree	agree	agree strongly	agree strongly	agree strongly	disagree	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree	agree	agree	agree	agree strongly	agree	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree			74	1	15	7	Selected	State	0	1	high
128	girl	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	8	agree	niet echt waar	disagree strongly	agree strongly	disagree	disagree	agree strongly	agree	agree	disagree	disagree	agree	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	disagree	disagree	disagree strongly	agree	agree strongly	disagree	agree	disagree	agree	agree	agree strongly	disagree	disagree	agree strongly	disagree	agree	agree strongly	agree	agree			87	1	8	8	Selected	Catholic	1	0	high
123	girl	agree	agree strongly	disagree	disagree	agree	agree strongly	agree strongly	agree	disagree strongly	disagree	8	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	disagree	disagree	agree	disagree strongly	agree strongly	disagree	agree strongly	agree strongly	agree	disagree	agree strongly	disagree	agree	agree	disagree	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	agree	agree	agree	agree	disagree	agree	agree strongly	disagree	disagree strongly	agree	agree	agree			86.6	0	12	8	Selected	Catholic	1	0	high
122	girl	disagree strongly	disagree	agree	agree strongly	disagree	agree strongly	disagree	disagree strongly	disagree strongly	agree	9	agree strongly	een beetje waar	disagree	agree strongly	disagree strongly	agree	disagree strongly	disagree	agree	agree strongly	disagree	agree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree	agree	agree	disagree	disagree strongly	disagree	disagree	agree	disagree	agree	agree	disagree	agree	disagree	disagree	agree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree			72.4	1	13	8	Selected	Catholic	1	0	high
124	girl	disagree strongly	agree strongly	agree	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree	agree	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree	agree strongly	agree strongly	agree			86.4	1	14	8	Selected	Catholic	1	0	high
126	girl	agree	disagree	agree	agree	disagree	agree strongly	disagree	agree	disagree	disagree strongly	10	agree strongly	niet echt waar	agree strongly	agree	disagree strongly	disagree	disagree strongly	disagree	disagree strongly	agree	disagree	disagree	agree strongly	disagree	agree strongly	agree strongly	disagree	disagree	disagree	disagree	disagree strongly	disagree	disagree	agree	agree	disagree	disagree	disagree strongly	disagree	disagree	agree	agree	agree	agree	disagree	disagree strongly	disagree			78.2	1	14	8	Selected	Catholic	1	0	high
128	girl	agree	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree	agree	disagree strongly	7	disagree	niet echt waar	disagree strongly	disagree	disagree strongly	disagree strongly	disagree	agree	agree strongly	disagree	disagree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	agree	disagree strongly	disagree	disagree strongly	agree	disagree	agree strongly	disagree	disagree	disagree	agree	disagree strongly	disagree	agree	agree strongly	disagree strongly	disagree	disagree	agree strongly	disagree strongly			94.1	1	16	8	Selected	State	0	1	high
122	girl	disagree	agree strongly	agree	disagree	disagree strongly	agree strongly	disagree	disagree strongly	disagree	disagree strongly	8	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree	disagree	agree	disagree strongly	agree strongly	disagree	agree	agree strongly	disagree	agree	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree	agree	agree	agree	agree	agree	agree	disagree strongly	disagree	agree strongly	disagree	disagree strongly	agree	disagree	agree			75	1	16	8	Selected	State	0	1	high
131	girl	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree	3	agree strongly	niet echt waar	agree	agree	disagree	agree	agree	agree	disagree	disagree	disagree	agree strongly	agree	agree	disagree	agree	disagree	disagree strongly	agree	disagree strongly	disagree strongly	disagree	agree	agree	agree	disagree	disagree	agree	agree	disagree strongly	disagree	agree	disagree	disagree strongly	agree	disagree	agree			70.5	0	17	8	Selected	State	0	1	high
128	girl	disagree	agree	disagree	disagree strongly	disagree	agree strongly	agree	disagree	disagree	disagree strongly	8	agree	een beetje waar	agree	disagree	disagree strongly	disagree	disagree strongly	disagree	disagree	disagree	disagree	agree	agree	disagree	disagree	agree	disagree strongly	disagree	agree	disagree	disagree strongly	disagree	agree strongly	disagree	disagree	disagree	disagree	disagree	disagree strongly	disagree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	disagree	disagree			81	1	0	9	Selected	State	0	1	high
131	girl	agree	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	disagree	disagree	disagree strongly	8	agree strongly	helemaal niet waar	disagree	disagree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	disagree	disagree	agree	disagree	disagree	agree	disagree	disagree strongly	agree	agree strongly	disagree strongly	disagree	disagree	agree	agree	disagree	agree	disagree strongly	disagree	agree	agree	agree	agree	disagree	disagree	agree	disagree			77.5	1	16	9	Selected	State	0	1	high
123	girl	agree	agree	disagree	agree	agree	agree strongly	agree	disagree	agree	disagree strongly	10	agree	een beetje waar	disagree	disagree	disagree strongly	agree	disagree	disagree	agree	agree	disagree	agree strongly	agree	disagree strongly	disagree	agree	disagree strongly	disagree	disagree	disagree	disagree strongly	agree	disagree strongly	agree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	disagree	agree	agree strongly	disagree	agree	disagree strongly	agree	disagree strongly			64.5	1	16	9	Selected	State	0	1	high
126	girl	disagree	agree	agree strongly	disagree	disagree	agree strongly	agree	agree	disagree	disagree strongly	8	agree	een beetje waar	agree	agree		agree	agree strongly	agree	disagree	disagree	disagree	agree	agree strongly	agree strongly	agree strongly	agree	agree	agree	disagree	disagree	disagree strongly	agree	agree strongly	agree strongly	agree strongly	disagree	agree	agree	agree	disagree	agree	agree	disagree strongly	disagree	agree	agree	disagree			88.75	1	16	10	Selected	State	0	1	high
128	girl	agree	agree	agree	disagree	disagree strongly	agree strongly	disagree	agree	disagree	disagree strongly	6	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	disagree	agree	agree strongly	agree	agree	agree	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree	agree	agree strongly	agree strongly	agree	disagree	disagree	disagree	disagree	agree strongly	agree	disagree	disagree	disagree strongly	agree strongly			79	1	16	10	Selected	State	0	1	high
127	girl	agree	disagree	agree strongly	disagree	disagree	agree strongly	disagree	disagree	disagree	disagree strongly	6	agree	helemaal niet waar	agree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree	disagree	agree strongly	agree strongly	agree strongly	disagree	agree	agree	disagree	agree	disagree	disagree strongly	disagree strongly	agree	disagree	agree strongly	agree	agree	agree	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree	agree strongly			88.5	1	16	10	Selected	State	0	1	high
119	boy	disagree	agree	agree strongly	agree	disagree strongly	agree	disagree	agree	disagree	disagree strongly	5	agree	een beetje waar	disagree strongly	disagree	disagree strongly	disagree strongly	disagree	disagree	disagree	disagree strongly	disagree strongly	agree	disagree	disagree strongly	agree strongly	agree	disagree	disagree	disagree strongly	disagree	agree	agree strongly	disagree	agree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree	disagree	disagree	disagree	disagree	agree strongly	disagree	63.06	50	60.03	1	6	6	Not Selected	State	0	1	high
142	boy	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	10	disagree strongly	helemaal waar	disagree	disagree	agree	agree	disagree	disagree	agree	disagree	disagree strongly	disagree	agree	disagree	agree strongly	agree	disagree	disagree strongly	agree	agree	agree strongly	agree strongly	disagree	agree strongly	agree	agree	disagree	disagree strongly	disagree	agree	agree	agree strongly	agree strongly	agree	disagree	disagree	disagree	71.8	50	65.9	0	9	7	Not Selected	State	0	1	high
125	boy	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree strongly	agree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	67.33	50	62.3	1	9	8	Not Selected	Catholic	1	0	high
122	boy	agree	disagree strongly	agree	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	0	disagree strongly	een beetje waar	agree strongly	agree	disagree strongly	agree strongly	disagree	agree	agree	disagree	disagree strongly	agree strongly	agree strongly	disagree	agree strongly	agree	agree	disagree	disagree	agree	disagree strongly	agree strongly	disagree	agree strongly	disagree strongly	disagree	disagree	agree	agree	disagree strongly	disagree	agree strongly	agree	disagree strongly	agree	agree strongly	disagree strongly	74.8	54	62.8	1	10	5	Not Selected	State	0	1	high
123	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	8	agree strongly	helemaal niet waar		disagree	agree	agree strongly	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree	disagree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree	agree strongly	agree strongly	72.5	59.2	68.5	1	8	7	Not Selected	State	0	1	high
134	boy	disagree strongly	agree strongly	disagree	disagree strongly	agree	disagree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal waar	disagree	agree	disagree strongly	agree	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree	disagree	disagree	disagree strongly	agree	disagree	disagree strongly	agree strongly	agree	agree	agree	agree	agree	agree	agree	agree	disagree strongly	agree strongly	agree	agree	agree	disagree	agree	77.5	62	76	1	10	6	Not Selected	State	0	1	high
132	boy	disagree	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree	disagree strongly	disagree strongly	agree strongly	agree strongly	agree		agree strongly	disagree strongly	agree strongly	agree strongly	agree	agree strongly	agree	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	agree	agree	disagree strongly	disagree strongly	disagree	agree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	agree	61.3	63.6	63.5	0	8	10	Not Selected	COE	0	0	high
